ID,IsSoftwareDev,Age,Gender,BootcampName,BootcampFinish,BootcampLoan,BootcampRecommend,HoursLearning,MonthsProgramming,CityPopulation,CodeEvents,PodcastsListen,ResourcesUse,SchoolDegree
e0fd87971d74ae362be88e6be240a559,1,32,female,Other,0,0,0,12,24,>1 million,1,1,2,Bachelor's and Higher
e0e0b02a8044249f1f8bd78c18e109b5,0,30,male,Dev Bootcamp,1,0,1,30,24,"100,000 - 1 million",2,3,6,Bachelor's and Higher
e0bc4865ca1a4aa2a506d9dba25c3750,1,25,female,Dev Bootcamp,1,1,1,10,10,>1 million,4,1,4,Bachelor's and Higher
e0904c436d8019aea26614f12f464bd1,0,50,female,Other,1,0,0,50,3,"100,000 - 1 million",0,2,3,Less than Bachelor's
df9bc402dd670e9e8e4d0a6e26ff603e,1,26,male,App Academy,1,0,1,5,17,"100,000 - 1 million",0,5,4,Bachelor's and Higher
df2ccae2f86240fd3c8bfdb7cf4c15bd,0,28,female,Hackbright Academy,1,1,1,40,6,>1 million,2,0,4,Bachelor's and Higher
df228956e7d11bd7b61e5a00e33fb2f4,0,35,male,Other,0,1,1,40,6,"<100,000",1,1,4,Less than Bachelor's
df1ca246dcfc6abc53f53c765c5d7d8f,1,33,female,Dev Bootcamp,1,0,1,10,15,>1 million,5,0,7,Bachelor's and Higher
dea93f329f8cb898c874c7ca44c14d73,1,,,Other,1,0,1,40,24,,0,0,3,
de8b80ab4620a1ebe5ec15a303888e7f,0,46,male,Other,0,0,1,35,5,"100,000 - 1 million",0,0,3,Less than Bachelor's
de13e81e0c2b020dbe81c53da8221784,1,28,male,Other,1,1,1,10,27,"100,000 - 1 million",2,1,2,Bachelor's and Higher
de08dedc6941b37fd9f01a8f96a57cc7,0,42,female,Dev Bootcamp,1,1,1,60,5,>1 million,1,1,3,Bachelor's and Higher
dda38648815a4b87d20dd7b273fe64a1,0,33,male,Other,1,0,1,20,6,"100,000 - 1 million",2,0,2,Bachelor's and Higher
dce9e4a2256b80ece64c15d9a5769197,0,,,Other,0,0,1,50,10,,1,1,3,
dc823b0e056ea71bc1774c76c2759e58,0,28,female,General Assembly,0,0,1,36,1,>1 million,0,0,1,Less than Bachelor's
dc58387dfa3a51af13d6da380aa7f245,1,52,male,General Assembly,1,0,0,30,24,"100,000 - 1 million",2,0,4,Less than Bachelor's
dc1d5953be8b5b77a2e789b645095149,0,48,female,Other,1,0,0,20,16,>1 million,3,0,3,Less than Bachelor's
db5acb68691e7b11d02b25e3380f4c35,1,,,Hack Reactor,1,1,1,50,8,,0,1,7,
db00f42bfea17c8a2b9a3129beea4c32,0,,,Other,1,0,0,4,36,,0,0,1,
daccedefbd191e7500eb737a24b8d5db,1,26,male,Hack Reactor,1,0,1,5,24,>1 million,1,0,4,Bachelor's and Higher
da6fae61ad40979f79fa5dccea000699,1,26,male,Other,0,0,1,15,3,"100,000 - 1 million",3,1,6,Bachelor's and Higher
da1b640c78c0a4f5bc6b37e63c6452bf,0,,,Other,0,1,1,28,12,,4,0,4,
d9b0834772ed7d32729845b1ed9abb99,0,50,male,Prime Digital Academy,1,1,0,20,7,"100,000 - 1 million",0,1,3,Bachelor's and Higher
d8b098bb47884218b1adfd369100f0dc,1,50,male,Dev Bootcamp,1,1,0,3,36,>1 million,0,0,2,Bachelor's and Higher
d8a004fe6e083c8775eaa17f72d44d26,0,31,male,Other,1,0,0,15,12,"100,000 - 1 million",1,2,3,Less than Bachelor's
d78bcb22f0ba145085eeb7552d723385,0,26,male,Other,0,0,1,50,6,"100,000 - 1 million",1,0,3,Bachelor's and Higher
d7512e468d63dbb0ecd363f20e81d4e7,0,39,male,Other,0,1,1,20,4,>1 million,1,0,3,Bachelor's and Higher
d6caa02297f5d0a9941517f09563a7b2,0,22,female,Other,1,1,0,8,6,>1 million,2,0,1,Bachelor's and Higher
